class	typeFreq	Inf	Impv2sg	Impv1pl	Impv2pl	1stPple	2ndPple	IndPres1sg	IndPres2sg	IndPres3sg	IndPres1pl	IndPres2pl	IndPres3pl	IndPast1sg	IndPast2sg	IndPast3sg	IndPast1pl	IndPast2pl	IndPast3pl	SubjPres1sg	SubjPres2sg	SubjPres3sg	SubjPres1pl	SubjPres2pl	SubjPres3pl	SubjPast1sg	SubjPast2sg	SubjPast3sg	SubjPast1pl	SubjPast2pl	SubjPast3pl
C1	3	-eig-a	-eig-	-eig-um	-eig-ið	-eig-andi	-át-t	-á-	-át-t	-á-	-eig-um	-eig-ið	-eig-a	-át-ti	-át-tir	-át-ti	-át-tum	-át-tuð	-át-tu	-eig-i	-eig-ir	-eig-i	-eig-um	-eig-ið	-eig-i	-æt-ti	-æt-tir	-æt-ti	-æt-tum	-æt-tuð	-æt-tu
C2	1	-u-a	-u-	-u-um	-u-ið	-u-andi	-u-að	-a-	-a-st	-a-	-u-um	-u-ið	-u-a	-u-di	-u-dir	-u-di	-u-dum	-u-duð	-u-du	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-y-di	-y-dir	-y-di	-y-dum	-y-duð	-y-du
C3	3	-u-a	!?	!?	!?	-u-andi	-u-að	-a-	-a-t	-a-	-u-um	-u-ið	-u-a	-u-i	-u-ir	-u-i	-u-um	-u-uð	-u-u	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-y-i	-y-ir	-y-i	-y-um	-y-uð	-y-u
C4	1	-u-a	-u-	-u-um	-u-ið	-u-andi	-u-að	-a-	-a-st	-a-	-u-um	-u-ið	-u-a	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C5	1	-i-a	-i-	-i-um	-i-ið	-i-andi	-i-að	-ei-	-ei-st	-ei-	-i-um	-i-ið	-i-a	!1Sissi	!1Sissir	!1Sissi	!1Sissum	!1Sissuð	!1Sissu	-i-i	-i-ir	-i-i	-i-um	-i-ið	-i-i	!1Sissi	!1Sissir	!1Sissi	!1Sissum	!1Sissuð	!1Sissu
C6	1	-∅-ja	-∅-tu	-∅-jum	-∅-jið	-∅-jandi	-∅-jað	-∅-	-∅-t	-∅-D	-∅-jum	-∅-jið	-∅-ja	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu	-∅-ji	-∅-jir	-∅-ji	-∅-jum	-∅-jið	-∅-ji	-∅-ði	-∅-ðir	-∅-ði	-∅-ðum	-∅-ðuð	-∅-ðu
C7	2	-u-a	!?	!?	!?	-u-andi	-u-t	-a-	-a-t	-a-	-u-um	-u-ið	-u-a	-u-ti	-u-tir	-u-ti	-u-tum	-u-tuð	-u-tu	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-y-ti	-y-tir	-y-ti	-y-tum	-y-tuð	-y-tu
C8	1	-u-u	!?	!?	!?	!?	!?	-u-	-u-t	-u-	-u-um	-u-uð	-u-u	!?	!?	!?	!?	!?	!?	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-u-ði	-u-ðir	-u-ði	-u-ðum	-u-ðuð	-u-ðu
C9	1	-u-u	!?	!?	!?	!?	!?	-a-	-a-t	-a-	-u-um	-u-uð	-u-u	!?	!?	!?	!?	!?	!?	-u-i	-u-ir	-u-i	-u-um	-u-ið	-u-i	-y-ði	-y-ðir	-y-ði	-y-ðum	-y-ðuð	-y-ðu
C10	2	-ó-a	-æ-ðu	-ó-um	-ó-ið	-ó-andi	-ó-ið	-æ-	-ær-ð	-æ-r	-ó-um	-ó-ið	-ó-a	-er-i	-er-ir	-er-i	-er-um	-er-uð	-er-u	-ó-i	-ó-ir	-ó-i	-ó-um	-ó-ið	-ó-i	-er-i	-er-ir	-er-i	-er-um	-er-uð	-er-u
C11	2	-ú-a	-ú-	-ú-um	-ú-ið	-ú-andi	-ú-ið	-ý-	-ý-rð	-ý-r	-ú-um	-ú-ið	-ú-a	-er-i	-er-ir	-er-i	-er-um	-er-uð	-er-u	-ú-i	-ú-ir	-ú-i	-ú-um	-ú-ið	-ú-i	-er-i	-er-ir	-er-i	-er-um	-er-uð	-er-u
C12	6	-í-a	-í-	-í-um	-í-ið	-í-andi	-i-ið	-í-	-í-ur	-í-ur	-í-um	-í-ið	-í-a	-ei-	-ei-st	-ei-	-i-um	-i-uð	-i-u	-í-i	-í-ir	-í-i	-í-um	-í-ið	-í-i	-i-i	-i-ir	-i-i	-i-um	-i-uð	-i-u
